scope,operator,t_bucket,l_bucket,num_units,avg_stoc_len,avg_error,metric_mean,metric_std,counts,fractions,thresholds,level_mean_error
bucket,input_proj,1,0,3584,32.004464285714285,0.010534152388572693,0.23757410049438477,0.126310795545578,"0,0,0,0,12,276,2997,299","0.000000,0.000000,0.000000,0.000000,0.003348,0.077009,0.836217,0.083426","1.000000,1.000000,1.000000,1.000000,0.766540,0.424597,0.097307","0.000841,0.000714,0.001212,0.001914,0.003665,0.005769,0.010983,0.031754"
bucket,input_proj,1,1,3584,32.004464285714285,0.013537879101932049,0.349701464176178,0.1970243602991104,"0,0,0,0,0,1,3583,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999721,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.973693,0.000000","0.000449,0.000677,0.001274,0.002072,0.004200,0.006758,0.013542,0.041449"
bucket,input_proj,1,2,3584,32.004464285714285,0.013291426002979279,0.35580214858055115,0.15558941662311554,"0,0,0,0,0,1,3583,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999721,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.989242,0.000000","0.000410,0.000637,0.001216,0.001983,0.004067,0.006562,0.013295,0.040932"
bucket,input_proj,1,3,3072,32.005208333333336,0.013602852821350098,0.2572578191757202,0.12050042301416397,"0,0,0,0,0,1,3071,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000326,0.999674,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.989244,0.000000","0.000408,0.000643,0.001229,0.002012,0.004149,0.006712,0.013607,0.041938"
bucket,input_proj,2,0,3584,32.0,0.012329286895692348,0.25125569105148315,0.14009031653404236,"0,0,0,0,5,181,3207,191","0.000000,0.000000,0.000000,0.000000,0.001395,0.050502,0.894810,0.053292","1.000000,1.000000,1.000000,1.000000,0.840693,0.517730,0.075973","0.000936,0.000822,0.001394,0.002213,0.004180,0.006582,0.012597,0.036732"
bucket,input_proj,2,1,3584,32.004464285714285,0.014880700036883354,0.2760913670063019,0.16589567065238953,"0,0,0,0,0,1,3583,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999721,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.988047,0.000000","0.000494,0.000747,0.001403,0.002286,0.004620,0.007446,0.014885,0.045368"
bucket,input_proj,2,2,3584,32.004464285714285,0.01583597995340824,0.24289485812187195,0.11644134670495987,"0,0,0,0,0,3,3579,2","0.000000,0.000000,0.000000,0.000000,0.000000,0.000837,0.998605,0.000558","1.000000,1.000000,1.000000,1.000000,1.000000,0.813318,0.016226","0.000500,0.000775,0.001468,0.002399,0.004887,0.007893,0.015842,0.048041"
bucket,input_proj,2,3,3072,32.005208333333336,0.019211286678910255,0.27684053778648376,0.17679592967033386,"0,0,0,0,0,2,3069,1","0.000000,0.000000,0.000000,0.000000,0.000000,0.000651,0.999023,0.000326","1.000000,1.000000,1.000000,1.000000,1.000000,0.826012,0.022842","0.000639,0.000975,0.001816,0.002962,0.005984,0.009662,0.019218,0.057217"
bucket,input_proj,3,0,7168,32.002232142857146,0.02065490558743477,0.2646689713001251,0.16439267992973328,"0,0,0,0,3,790,5580,795","0.000000,0.000000,0.000000,0.000000,0.000419,0.110212,0.778460,0.110910","1.000000,1.000000,1.000000,1.000000,0.910409,0.478402,0.082124","0.001938,0.001539,0.002544,0.003920,0.007267,0.011422,0.021691,0.059449"
bucket,input_proj,3,1,7168,32.002232142857146,0.019258739426732063,0.26436087489128113,0.13145402073860168,"0,0,0,0,0,3,7163,2","0.000000,0.000000,0.000000,0.000000,0.000000,0.000419,0.999302,0.000279","1.000000,1.000000,1.000000,1.000000,1.000000,0.868383,0.015660","0.000676,0.001007,0.001863,0.003019,0.006049,0.009708,0.019262,0.057414"
bucket,input_proj,3,2,7168,32.002232142857146,0.019858969375491142,0.21088838577270508,0.10714147239923477,"0,0,0,0,0,10,7149,9","0.000000,0.000000,0.000000,0.000000,0.000000,0.001395,0.997349,0.001256","1.000000,1.000000,1.000000,1.000000,1.000000,0.731127,0.020320","0.000677,0.001023,0.001905,0.003094,0.006243,0.010018,0.019864,0.058329"
bucket,input_proj,3,3,6144,32.002604166666664,0.026283210143446922,0.2578766942024231,0.1991305947303772,"0,0,0,0,0,1,6143,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000163,0.999837,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.980994,0.000000","0.001031,0.001465,0.002642,0.004262,0.008414,0.013498,0.026287,0.075492"
bucket,mlp_fc1,0,0,7168,32.0,0.0022540756035596132,0.24276205897331238,0.13498841226100922,"0,0,0,0,0,1357,4454,1357","0.000000,0.000000,0.000000,0.000000,0.000000,0.189314,0.621373,0.189314","1.000000,1.000000,1.000000,1.000000,1.000000,0.353264,0.122667","0.000125,0.000139,0.000242,0.000387,0.000751,0.001223,0.002404,0.007440"
bucket,mlp_fc1,0,1,7168,32.0,0.0032147716265171766,0.2972641587257385,0.1522001028060913,"0,0,0,0,0,0,7168,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000108,0.000163,0.000293,0.000467,0.000926,0.001540,0.003215,0.010619"
bucket,mlp_fc1,0,2,7168,32.0,0.00387386791408062,0.3358839452266693,0.15888506174087524,"0,0,0,0,0,7,7154,7","0.000000,0.000000,0.000000,0.000000,0.000000,0.000977,0.998047,0.000977","1.000000,1.000000,1.000000,1.000000,1.000000,0.858137,0.025749","0.000150,0.000214,0.000372,0.000584,0.001138,0.001880,0.003874,0.012736"
bucket,mlp_fc1,0,3,5120,32.0,0.0058831823989748955,0.49547332525253296,0.2286367118358612,"0,0,0,0,0,15,5090,15","0.000000,0.000000,0.000000,0.000000,0.000000,0.002930,0.994141,0.002930","1.000000,1.000000,1.000000,1.000000,1.000000,0.939829,0.062987","0.000345,0.000433,0.000673,0.001019,0.001879,0.003007,0.005885,0.018497"
